"Data","Hora (UTC)","Temp. Ins. (C)","Temp. Max. (C)","Temp. Min. (C)","Umi. Ins. (%)","Umi. Max. (%)","Umi. Min. (%)","Pto Orvalho Ins. (C)","Pto Orvalho Max. (C)","Pto Orvalho Min. (C)","Pressao Ins. (hPa)","Pressao Max. (hPa)","Pressao Min. (hPa)","Vel. Vento (m/s)","Dir. Vento (m/s)","Raj. Vento (m/s)","Radiacao (KJ/m²)","Chuva (mm)"
02/11/2022,0,10.2,10.6,10.2,93,94,93,9.2,9.6,9.2,838.7,838.8,838.3,1.9,111,6.8,,
02/11/2022,100,10.2,10.3,10,93,94,93,9.1,9.2,9,838.8,839,838.7,1.7,71,6.8,,
02/11/2022,200,9.9,10.2,9.9,93,94,93,8.9,9.2,8.9,838.3,838.8,838.3,0.9,162,5.2,,
02/11/2022,300,9.7,9.9,9.6,93,94,93,8.7,8.9,8.6,837.8,838.3,837.8,1.3,34,5.2,,
02/11/2022,400,9.3,9.7,9.3,94,94,93,8.4,8.7,8.3,837.3,837.9,837.3,1.5,109,5.2,,
02/11/2022,500,9.1,9.4,9.1,94,94,94,8.2,8.4,8.1,836.8,837.4,836.7,1.5,120,5.8,,
02/11/2022,600,9,9.1,8.9,94,94,94,8.1,8.2,7.9,836.9,836.9,836.7,1.5,98,6,,
02/11/2022,700,8.9,9,8.9,94,94,94,8,8.1,7.9,836.9,837,836.8,1.4,119,5,,
02/11/2022,800,9.1,9.1,8.9,94,94,94,8.2,8.2,8,837.5,837.5,836.8,1.1,176,5,,
02/11/2022,900,9,9.1,8.9,93,94,93,8,8.3,8,838,838,837.5,2.3,54,7.6,,
02/11/2022,1000,9.1,9.2,8.9,93,94,93,8.1,8.2,7.9,838.5,838.6,838,2,66,7.6,,
02/11/2022,1100,9.5,9.6,9.1,93,93,92,8.5,8.6,8,838.9,838.9,838.5,1.6,44,7.1,,
02/11/2022,1200,9.5,9.6,9.3,93,93,92,8.4,8.5,8.2,839.1,839.1,838.8,2.2,12,6.8,,
02/11/2022,1300,9.6,9.9,9.3,94,94,92,8.7,9,8.1,839.1,839.2,839,2.5,48,7.5,,
02/11/2022,1400,9.9,10.1,9.5,92,94,92,8.6,9.1,8.5,839,839.2,839,2.2,38,6.4,,
02/11/2022,1500,9,9.9,9,92,93,91,7.7,8.7,7.7,838.9,839,838.9,2.1,87,6.7,,
02/11/2022,1600,9.2,9.3,8.7,92,93,91,8,8.1,7.5,838.5,838.9,838.5,2.5,18,8.2,,
02/11/2022,1700,8.3,9.2,8.1,95,95,91,7.5,8,7.3,838.3,838.6,838.2,1.2,331,6.6,,
02/11/2022,1800,8.3,8.4,8,93,95,93,7.2,7.6,7,838,838.3,837.9,2,37,7.3,,
02/11/2022,1900,8.2,8.3,7.9,93,94,93,7.1,7.2,6.9,838.2,838.2,837.9,2.1,58,6.3,,
02/11/2022,2000,8.1,8.3,8.1,93,93,92,7.1,7.2,7,838.3,838.3,837.9,2.3,57,8.5,,
02/11/2022,2100,8,8.2,8,94,94,93,7.1,7.2,7,838.3,838.6,838.3,2.7,73,7.5,,
02/11/2022,2200,7.6,8,7.5,95,95,93,6.8,7.1,6.6,838.9,838.9,838.4,3,47,9.5,,
02/11/2022,2300,7.3,7.7,7.3,94,95,94,6.5,6.8,6.4,839.1,839.1,838.9,3.3,40,8.3,,
